#,Module,คำถาม (ลูกค้าแจ้ง),คำตอบ (มาตรฐาน)
195,ห้องทำงานแพทย์,ปกติเวลาสั่งให้ PRC หรือ LPRC ต้องสั่ง order ช่องยังไง พบ แล้วก็ตอนนี้ลอง order ในเวชภัณฑ์ที่ไม่ใช่ยา สามารถเซ็นในใบ mar ได้แล้ว,แนะนำเอกสาร
196,ห้องทำงานแพทย์,Neo ยังไม่ add ชื่อ แพทย์ที่มาช่วยราชการคนใหม่ hosxp มีแล้ว รคส ไม่ได้ เราต้องแก้ยังไง?ในกรณีมีแพทย์ช่วย หมุนเวียนทุกเดือน ต้องแจ้งทีมทุกครั้ง,สามารถแจ้งทีมได้หรือจะให้adminโรงพยาบาลเลยก็ได้ต้องทำการจัดกลุ่มก่อน
197,ห้องทำงานแพทย์,พบปัญหาที่opdmedแพทย์เข้าดูประวัติadmitไม่ได้ เช็คให้ด่วน,รบกวนปุ่ม Ctrl+F5 Refresh Chrome หรือ เคลียร์แคชอีกครั้งค่ะ
198,ห้องทำงานแพทย์,Username ของแพทย์เป็นหลังจากเมื่อคืนแก้ไข,รบกวนปุ่ม Ctrl+F5 Refresh Chrome หรือ เคลียร์แคชอีกครั้งค่ะ
199,ห้องทำงานแพทย์,เข้าดูประวัติคนไข้ไม่ได้,รบกวนปุ่ม Ctrl+F5 Refresh Chrome หรือ เคลียร์แคชอีกครั้งค่ะ
200,ห้องทำงานแพทย์,แลปไม่เข้า ถ้าเเพทย์ สั่งเป็นรายการบันทึกเพิ่มเติม แสดงว่า ออร์เดอร์แลปจะไม่เข้าสักรายการ ถ้าเเพทย์ จะสั่งแลป เพิ่ม ให้เข้าไป สั่งแลป แบบปกติ เพราะ ถ้าไปบันทึกเพิ่มเติมคือ ออร์เดอร์ไม่เข้าที่แลป,ในกรณี ที่ต้องการ ให้รายการ ที่สั่งจากOPD แสดง ที่ใบออเดอร์ จึงจะใช้เป็น รายการบันทึกเพิ่มเติมหากต้องการสั่ง LAB อื่นๆเพิ่มเติม สามารถออเดอร์ เป็นการสั่ง lab ได้เลย
201,ห้องทำงานแพทย์,หากต้องการยกเลิก ออเดอที่รับไปทำยังไง,หมายถึงว่าแพทย์สั่งพยาบาลรับออเดอร์ถุก ทางโรงพยาบาลยกเลิกเองแต่ขั้นตอนจะเยอะอยู่..และถ้ามีการสั่งยา..เดี่ยวจะทำวิธีการยกเลิกให้นะ..ถ้าเร่งด่วนส่งมาให้ทางทีมยกเลิก
202,ห้องทำงานแพทย์,การ remed ยานอก รพ. ทำยังไง เข้าไปดูเทียบกับ thai refer ไม่เห็นยา,ส่งคู่มือการใช้งานโปรแกรม
203,ห้องทำงานแพทย์,ท่านผู้รู้ ต้องสั่งอาหารตรง 🙏🏻🤣😅,กดnewอเดอร์เลยกดที่continue ที่แถบด้านซ้ายจะมีสั่งอาหารอยู่นะ
204,ห้องทำงานแพทย์,สั่งLabล่วงหน้าไม่ได้,เพิ่มข้อมูลsoapเพิ่มเติมเนื่องจากหากสั่งรายการลล่วงหน้าอย่างเดียวไม่มีรายการอื่นๆเดียวจะต้องมีข้อมูลส่วนนี้
205,ห้องทำงานแพทย์,Progress note/doctor order ไม่มีfoot note*ไม่เพิ่มแล้วว*,ใบออเดอร์ต้องการเพิ่มฟุตโน๊ตข้อมูลจะไม่ซ้ำซ้อนกับที่อยู่ในช่องโปรเกสโน๊ตใช่
206,ห้องทำงานแพทย์,ขอคู่มือ Set Template Standing Order สำหรับแพทย์ พอดีจะให้แพทย์ใหม่ 2 ท่านได้ลองทำ,ส่งลิงค์คู่มือ
207,ห้องทำงานแพทย์,ฝ่ายทางneo. ขยาย ช่อง note finding ของPE,ตรวจสอบตั้งค่าปิดไว้
208,ห้องทำงานแพทย์,"ตอนนี้ รพ. มีแพทย์มาใหม่ 2 คน
มีรหัสเข้า HosXP ได้ปกติ
ในผู้ป่วยในหน้าห้องทำงานแพทย์ ไม่สามารถเลือกแพทย์ของไข้
ไล่ดูไม่มีชื่อในรายการแพทย์",แก้ไขเรียบร้อย
209,ห้องทำงานแพทย์,ขอลบออเดอร์ อันนี้,สามารถกดยกเลิกคำสั่งแพทย์
210,ห้องทำงานแพทย์,"เรียน Neo
- อยากให้มีระบบแจ้งเตือน หรือยืนยัน ก่อนการสั่งยา ของแพทย์ กรณี แพทย์ สั่งรายการยาที่ชื่อซ้ำกัน ( ยา continue )
เพื่อให้แพทย์ จะได้ทราบว่า เคยสั่งยารายการนี้มาแล้ว 
แพทย์จะลบออกหรือจะเปลี่ยนวิธีการใช้",จะมีการแจ้งเตือนรายการยา active ขึ้นเตือนให้
211,ห้องทำงานแพทย์,"กรณี ถ้าหมอ remed จากประวัติเดิม จะมีแจ้งเตือน คือเจอ ว่ามีการสั่งออเดอรซ้ำ ขึ้นมาเลย เป็นกลุ่มยา เรื้อรัง แพทย์ remed ประวัติเดิมมา
ไม่แน่ใจ ระบบ มีแจ้งเตือน",ส่วนนี้กลุ่มยาเรื้อรังจะยังไม่มีการแจ้งเตือน จะมีแจ้งเตือนเพียงกลุ่มยาที่แพ้และยาที่ปิดการใช้งาน
212,ห้องทำงานแพทย์,กดสั่ง homemed จาก med reconcile ไม่ได้,เลือกสั่งและ กดสั่ง homemed
213,ห้องทำงานแพทย์,ออฟรายการเดิม เปลี่ยนออเดอใหม่ รคส ไม่ได้,เมื่อรายการมาแสดงใบใบออเดอร์แล้วกดส่งคำสั่งแพทย์ได้เลย
214,ห้องทำงานแพทย์,กดส่งคำสั่งแพทย์ไม่,น่าจะเป็นที่เน็ตของรพ.
215,ห้องทำงานแพทย์,เเพทย์สรุปชาตไม่ ล๊อกเป็นชื่อของแพทย์คนอื่นไว้ ไม่สามารถแก้ไข,จะต้องเป็นแพทย์ของชื่อแก้ไข Usere อื่นจะไม่สามารถแก้ไข
216,ห้องทำงานแพทย์,พอดีคุณหมอลงข้อมูล consent แล้วแต่บันทึกไม่ ขอตรวจสอบ,ผู้ป่วยมี AN แล้วจะต้องมาลง consent ที่หน้าการทำงานนี้
217,ห้องทำงานแพทย์,ขอวิธี เพิ่มส่วน progress note,ส่วนนี้ทางรพ.จะต้องมีการเปิดตั้งา ว่าสามารถแก้ไขผู้ป่วยที่ D/C
218,ห้องทำงานแพทย์,สามารถเพิ่มให้ ทพ. ทพญ. ลง progress note หรือกำหนด สิทธิ์ user แพทย์,กำหนด สิทธิ์ user แพทย์ จะสามารถเขียน progress note
219,ห้องทำงานแพทย์,ขอวิธีสร้าง template standing order,ให้วิธีการสร้าง
220,ห้องทำงานแพทย์,ถ้า รคส ผิดคน แต่ส่งคำสั่งแพทย์ไปแล้ว ยกเลิก,สามารถยกเลิกปุ่มนี้
221,ห้องทำงานแพทย์,ยกเลิก Admit คนนี้ พอดีเผลอกดแอดมิท แพทย์ยังไม่ได้ order,แพทย์สามารถออเดอร์ได้ที่ห้องทำงานแพทย์ได้เลยนะ
222,ห้องทำงานแพทย์,สั่งorderรอบเดียวระบบสั่ง lab 2 รอบ ห้องแล็บรับและทำ2รอบ ตรงนี้เกิดจากอะไร,มีการสั่งชุดนี้ใหม่ในhosนะ อันนี้จะเป็นรายการออโต้แลปจากhos
223,ห้องทำงานแพทย์,Azithromycin วิธีใช่ไม่ขึ้นAzithromycin วิธีใช่ไม่ขึ้นกัยจะภามว่ามีวิธีoffยาที่review treatในหน้านี้ เพราะไม่มีปุ่มoff,หากตอนการให้อยู่ในRTจะต้องกดreviewใหม่นะ
224,ห้องทำงานแพทย์,เช็คชาร์ทDischagre Doctor orderกับ progess note ไม่ขึ้น,Dischagre ยังไม่ลงลายเซ็น progessตรวจสอบอีกครั้ง
225,ห้องทำงานแพทย์,คนไข้ipd ที่มีแพทย์ร่วมดูหลายคน สามารถใส่ชื่อเพิ่ม มีปัญหาในการตามดูเคส consult,สามารถเพิ่มแพทย์ผู้ร่วมรักษาได้
226,ห้องทำงานแพทย์,ห้องยาnoteยาเดิมให้หมอไม่ได้ ดูให้น่อย เตียง11,เลือกวันที่ใบออเดอร์ที่ต้องการnoteก่อน และสามารถเพิ่มได้เลย
227,"ห้องทำงานแพทย์, Discharge Summary",เป็นแค่การบันทึกเพิ่มเติม ส่วนคำสั่งของแพทย์ ไม่เกี่ยวกับระบบอื่นใช่,แก้ไขได้ในส่วนของคำสั่งแพทย์
228,"ห้องทำงานแพทย์, ผู้ดูแลระบบ(Admin)",เช็คการนำเข้าลายเซ็นของหมอชนัญธิดา เหลื่อมมงคล ให้ที มันไม่ดึงมาที่ใบPE,คุณหมอยังไม่สร้างลายเซนต์ที่ผู้ดูแลระบบ
229,"ห้องทำงานแพทย์, ห้องพยาบาล",ขออนุญาต กรณีหมอทำแอดมิทผิดคน พยาบาลยังไม่ได้กดรับออเดอร์ สามารถย้ายข้อมูลมาอีกคร,หากทำแอดมิทผิดคน ทีมแนะนำให้ user ที่เขียนใบออเดอร์ กด ยกเลิกคำสั่งแพทย์ได้
230,"ห้องทำงานแพทย์, ห้องพยาบาล",เวลาจะกลับไปดู order หน้าเดิมแล้วยังorder ไม่เสร็จมันจะเด้งหายไป มีวิธีทำให้ไม่หายไป,ส่วนนี้อยู่ในขั้นตอนพัฒนาอยู่
231,"ห้องทำงานแพทย์, ห้องพยาบาล","ฝาก it ล็อคการดูผล anti-HIV ,cd4, HIV viral load ให้ดูผลได้เฉพาะ user ของแพทย์เท่านั้น ใน hosxp ล๊อคแล้ว จะสามารถดูได้เฉพาะแพทย์ และผู้ที่เกี่ยวข้องกับคลินิก ARV ใน hosxp ล็อดแล้วแต่ใน neo ผู้ใช้งานแจ้งว่าดูได้ทุก user เลย ฝากผู้เกี่ยวข้องตรวจสอบ",เรื่องนี้ทีมขอนำเรื่องส่งเสนอกับทางทีมพัฒนาระบบให้ก่อน เนื่องจากการแก้ไขข้อมูลบางส่วนจะมีผลกระทบกับโครงสร้างหลัก จะต้องให้ทีมตรวจสอบและเก็บรวบรวมข้อมูลในส่วนนี้ หากมีการพัฒนาหรือเริ่มดำเนินการในเรื่องนี้ทางทีมจะแจ้งให้ทราบโดยทันทีอีกครั้ง
232,"ห้องทำงานแพทย์, ห้องพยาบาล",สอบถาม ถ้าเพิ่ม user ใน neohos โดยที่ใน hosxp ไม่ได้เพิ่ม user ได้มั๊ย,สามารถเพิ่มที่ผู้ดูแลระบบได้นะ
233,"ห้องทำงานแพทย์, ห้องพยาบาล",กรณีที่แพทย์มี Order Lab ล่วงหน้า ไม่ขึ้นแถบสีน้ำเงินว่ามีออเดอร์มา ต้องสังเกตุตรงรูป tube lab ที่เป็นสีแดง,"สีเขียว ผล lab ออก สีส้ม แพทย์มีการ ออเดอร์ Lab ล่วงหน้า
สีแดงฟ้า แพทย์ มีการออเดอร์ Lab == หากหลอดหายไปแสดงว่าแพทย์อ่านผลLab"
234,"ห้องทำงานแพทย์, ห้องพยาบาล",เพิ่มเติม วินิจฉัยแรกรับ แพทย์แจ้งว่าKeyแล้ว แต่ไม่ขึ้น ยังไม่มีAN เนื่องจากยังไม่ยิงAdmit เปิดหน้าPE ขึ้นมาเพื่อโทส่งเวรขอเตียง แต่ไม่พบข้อมูล,เบื้องต้นทีมแนะนำให้ผู้ป่วยออก an แล้วอยบันทึกข้อมูลส่วนนี้ก่อนนะ เนื่องจากทีมกำลังหาสาเหตุกรณีผู้ป่วยยังไม่ออก an แล้วข้อมูลส่วนนี้ไม่บันทึกให้
235,"ห้องทำงานแพทย์, ห้องพยาบาล",ค่าlab ที่ order แล้วรับ order แล้ว ต้องการยกเลิก ต้อฃทำยังไงค้า,วิธีลบรายการ Lab ที่รับ order แล้ว แต่ออเดอร์ Lab จะเด้งกลับมาให้รับออเดอร์ใหม่อีกครั้ง หากไม่ต้องการให้ออเดอร์แสดงสามารถแจ้งทีมลบออกได้เลย
236,"ห้องทำงานแพทย์, ห้องพยาบาล",.. ถ้าแพทย์ D/C สั่ง lab วัน F/U ต้องกดตรง,ใช่แต่ตอนนี้ทำได้แล้วค่าา🙏🏻
237,"ห้องทำงานแพทย์, ห้องพยาบาล",เคสนี้มีการให้ยาที่ER ห้องยาในไม่เห็น,ยังไม่มีการรับออเดอร์ ทำให้รายการยาไม่ไปที่ห้องยา
238,"ห้องทำงานแพทย์, ห้องเวชระเบียน",ใบ death 13 หลักไม่ขึ้น AN: 680001176,แพทย์ไม่มีข้อมูลเลข 13 หนัก
239,ห้องผ่าตัด,ข้อมูลนี้ OR เป็นคนลงใช่,โดยส่วนใหญ่ OR จะลงข้อมูลส่วนนี้ให้
240,ห้องผ่าตัด,จาก OR ใส่ ช่อง Anesthesia ไปแล้ว แต่มากด view ดู ไม่มีขึ้น ในใบ Operative Note Appendic,มีส่งแก้ไขแล้ว
241,ห้องผ่าตัด,เรา set OR ไว้ตั้งเมื่อวาน เพื่อที่คนไข้จะเข้า OR วันนี้ แต่ฟอร์มปรอทขึ้น ขีดทับสีดำเหมือนได้รับการผ่าตัดแล้ว ซึ่งคนไข้รอดารผ่าตัดอยู่ยังไม่ได้รับการผ่าตัด,หากมีการลงบันทึกข้อมูลที่ส่วนนี้จะทำให้มีข้อมูลแสดงที่หน้าฟอร์มปปรอท
242,ห้องผ่าตัด,หน้านี้ เวลาผ่าตัดไม่ขึ้นหลังจากบันทึกแล้ว,มีรายการวันที่แสดง
243,ห้องผ่าตัด,update แล้ว ทำไมทางห้องผ่าตัดไม่สามารถกดสถานะการผ่าตัดได้,ยังไม่มีข้อมูลที่งานผ่าตัด ทำให้ไม่สามารถเลือกผ่าตัดเสร็จแล้วได้
244,ห้องผ่าตัด,"ระบบห้องผ่าตัด เมื่อผ่าตัดเสร็จสิ้น
จะเปลี่ยนสถานะ เป็นผ่าตัดเสร็จ 
แต่ขึ้นว่า แบบนี้ 
ขอช่วยตรวจสอบค่้",หากมีลง ข้อมูลแล้ว จะสามารถเปลี่ยนสถานะ ได้ ส่วนนี้ป้องกันเจ้าหน้าทีลืมลงรายการผ่าตัดที่จะต้องไปแสดงที่ฟอรมปรอท
245,ห้องผ่าตัด,ขึ้นแต่ในฟอร์มปรอทไม่ขึ้นoperation,ยังไม่มีการลงข้อมูลผ่าตัดที่ส่วนนี้
246,ห้องผ่าตัด,ช่วยตรวจสอบ operative note anas note ค่าใช้จ่ายผ่าตัดไม่ขึ้น,ยังไม่มีข้อมูลลงทะเบียนผ่าตัดนะค
247,ห้องผ่าตัด,ขออนุญาติ ทางneohost สามารถย้ายข้อมูลผ่าตัด ของนาย อุดม ทาหลี วันที่15/10168 HN 6800335 AN 680013419 ย้ายไปยัง AN 680013692,ส่วนนี้จะต้องลงทะเบียนใหม่ เนื่องจากทางทีมทดสอบย้ายข้อมูลแล้วไม่สามารถย้ายข้อมูลได้
248,ห้องผ่าตัด,สอบถามเรื่อง operative form ครับ เคสที่บันทึกแล้ว แต่เราต้องการเข้ามาแก้ไข ชื่อ scrub มองไม่เหนชื่อ ถ้า กด วิว จะเหน,ทีมกดที่เครื่องวางไฟล์ข้อมูลแสดงปกติ
249,ห้องผ่าตัด,ขออนุญาตในระบบneohos มีให้แพทย์เลือกประเภทแผลหลังผ่าตัดไหม เนื่องจากพยาบลต้องแยกประเภทแผล,แนะนำเอกสาร
250,ห้องผ่าตัด,ฟอร์มนี้มีรายเซ็นต์แพทย์ไหม,เอกสารส่วนนี้ไม่มีลายเซ็นแพทย์
251,ห้องผ่าตัด,ต้องการลบข้อมูลผ่าตัดหมายเลข1 ทำไง,ต้องลบที่ฐานข้อมูล
252,ห้องผ่าตัด,ลบฟอร์มนี้ลองลบเองแล้วไม่ออก an 680002006,ลบรายการสั่งผ่าตัด แล้วบันทึกอีกครั้ง
253,ห้องพยาบาล,admin ช่วยตรวจสอบยา,มีรายการ add ยาโดยไม่ผ่านใบออเดอร์ neo
254,ห้องพยาบาล,เรื่องการใช้งานหากมี admit paperless ห้องยาจะทราบได้อย่างไร,แก้ไขเรียบร้อย
255,ห้องพยาบาล,"อาจารย์ขา
ในกรอบชื่อผู้ป่วยที่เป็นสีแดงจากอะไร เป็นAlert ที่พบว่าผิดปกติหรือไม่ แล้วทำอย่างไรจึงจะหายไปได้อาจารย์",มีลงประวัติล่าสุด v/s 38 หากผู้ป่วย temp 38 ขึ้นไป ในส่วนการลงข้อมูลที่ DTX รายชื่อผู้ป่วยจะเป็นสีแดง
256,ห้องพยาบาล,ช่วยลบข้อมูล ลงวันที่ผิด AN 2349,จะต้องเป็นเจ้าหน้าที่ ที่เซ็นต์ยาเข้าไปลบ
257,ห้องพยาบาล,re med ค่าเตียง ค่าบริการ,แก้ไขเรียบร้อย
258,ห้องพยาบาล,ประเด็นคนไข้มีประวัติแพ้ยา แต่สั่งยาที่แพ้ได้,ไม่มีติ๊กห้ามสั่งใช้ไว้ะ
259,ห้องพยาบาล,admin ยกเลิก การ off ยา manidipine ที่เป็นยากลับบ้านลำดับที่ 8 ของนางมะลิ รุ่งฉัตร HN 440010446,สามารถยกเลิกได้ที่หน้าใบออเดอร์ เลยะ
260,ห้องพยาบาล,เรื่องการจัดหมวดเอกสาร การคีย์ค่าห้อง,ให้ข้อมูลเรียบร้อย
261,ห้องพยาบาล,เรื่ื่องฟอร์มเอกสารที่ขอมา,ให้ข้อมูลเรียบร้อย
262,ห้องพยาบาล,เรื่ื่องการลงหัตถการ,ให้ข้อมูลเรียบร้อย
263,ห้องพยาบาล,"ช่วยยกเลิกการ off lorazepam ,",สามารถยกเลิกได้ที่หน้าใบออเดอร์ เลย
264,ห้องพยาบาล,ขอว่าโปรแกรมNeohos. สามารถแจ้งเตือนกรณีมีการลืมให้ยาหรือให้ยาผิดเวลา (แจ้งรายบุคคล),ส่วนนี้จะยังไม่มีแจ้งเตือนรายบุคคล จะมีการแจ้งเตือนใกล้ถึงเวลาให้ยาที่หน้าการทำงาน nures station
265,ห้องพยาบาล,ผลelectrolyte ไม่ขึ้นในระบบ,ผลยังไม่แสดงที่ฐานข้อมูล
266,ห้องพยาบาล,"ทางทีมช่วยดูcaseนี้ AN2577 เนื่องจากcase นี้เป็นการ run ยาต่อเนื่อง 3-4วัน ,17 dose ในorder one day ตอนคีย์ สามารถ คีย์ได้ปกติ ได้เเค่ วันที่ 3-4 ระบบจะสามารถ run จนครบ dose จนถึงวันที่ 6เลย",order one day จะแสดงได้เพียง 24 ชม. เช่น สั่ง14.00 วันที่3 ยาจะ off วันที่ 4 เวลา 14.00 ไม่สามารถรันถึงวันที่ 6 ใช่่ เคสนี้จะต้องออเดอร์ใหม่ แต่หากพบในเคสอื่นที่ต้องการสั่งจ่ายเกิน 1 วัน แนะนำเป็นออเดอร์ continuation เมื่อจ่ายยา ครบก็สามารถ off ยาได้
267,ห้องพยาบาล,ผมว่าตรงประเภทผู้ป่วยแยกสีค่อนข้างดีมาก แต่ประเมินจากตรง,เอกสารทางการพยาบาล 103
268,ห้องพยาบาล,เตียง 8 นางทัศน์ AN 2457 พอดีเซ็น NPH 4 u sc ผิด ต้องการลบ ขอแก้ไข,เร่งติดตามให
269,ห้องพยาบาล,อาจารย์ แก้ Fortum ให้เป็น 06.00,สามารถเลือกรายการยาและบริหารเป็นเวลา 06.00 ได้เลย
270,ห้องพยาบาล,680008768 ใบ Mar ใบวิวชื่อยาแสดงเป็นค่าว่าง,คีย์ยามาจาก hos แล้วก็ลบออกจากใบสั่งยา และหน้า Current
271,ห้องพยาบาล,ลบ mixtrad เวลา 18.00น.ออก,จากการตรวจสอบ เป็นการบริหารเวลาให้ยามาเอง
272,ห้องพยาบาล,เรื่องการลบยาที่เซ็นแล้ว ใบ Mar V.2,ให้คำแนะนำ
273,ห้องพยาบาล,ชื่อแพทย์มีคำนำหน้าซ้อนกัน,แก้ไขเรียบร้อย
274,ห้องพยาบาล,แล้วถ้าสร้าง standing order ที่มียา แต่ไปพิมพ์ชื่อใน special order เลยที่ไม่ได้กดจากคำว่าสั่งยา แสดงว่ารายการยาจะไม่ลิงค์ในใบMAR ใช่,รายการยาที่มาจาก standing order จะลิงค์ไปที่ใบ mar. ส่วนรายการ special order จะไม่ลิงค์ไปที่ใบ mar.
275,ห้องพยาบาล,ออนุญาต เราสามารถแก้ไขเวลา,เข้าที่แว่นขยาย เลือกรายการแล้วลบเซ็นต์ยาออกก่อน หลังจากลบเซ็นต์ยา ให้เลือกเวลาที่ถูกต้องก่อนค่อยเซ็นต์ให้ยาอีกครั้ง
276,ห้องพยาบาล,พี่ order มันขึ้นเป็นวันที่ 10 แก้ วันที่ยังไง คือไม่ได้ order 10/7/68 06.00 แต่ว่ามันเด้งเป็นเวลานั้นได้ยังไงก็ไม่รู้,เขียนใหม่จะต้อง new ออเดอร์
277,ห้องพยาบาล,med เป็น null,แก้ไขเรียบร้อย
278,ห้องพยาบาล,Case นี้แพทย์สั่ง CxR ล่วงหน้าวันที่ 10/7/68 แต่แพทย์ไม่ได้แก้วันที่แล้ว order CxR มันไปขึ้น วันที่ 9/7/68 6.00น. ต้องแก้ยังไง,มีลบรายการเลข xn นี้แล้วใช่
279,ห้องพยาบาล,แล็บมาในนีโอไม่หมด,ประวัติ lab จะแสดงที่ส่วนนี้
280,ห้องพยาบาล,พี่ I/O ขอลงแบบเลขติดลบ บางเคสเป็นเคสล้างไต มันจะมีได้กำไรกับขาดทุน,ส่วนนี้จะยังไม่สามารถลงข้อมูลเลขติดลบได้ เสนอทีมพัฒนา
281,ห้องพยาบาล,พี่ดูใบมา ของคนไข้ชื่อสมทรงประสบธรรมพอดีจะพิมพ์ใบมาแล้วมันไม่ออก,ไม่เลือกกรอง
282,ห้องพยาบาล,พี่มีช่องให้ลง blood lactate คั อันนี้เป็นผลเลือดที่แสดงถึงการติดเชื้อว่ามากหรือน้อยลงหนูอยากได้ลงตรง DTX กับ Hct เพิ่มให้,"แนะนำให้สามารถลงข้อมูลในส่วนนี้โดยพิมพ์เพิ่มในส่วนหน้าลงข้อมูลฟอร์ม ลงข้อมูล RECORD V/S ,LAB/การรักษาที่ได้รับ"
283,ห้องพยาบาล,ถ้าจะ review tx ต้องสั่งยาใหม่ทั้งหมดเลย,แนะนำการใช้งานการ Review Treatment
284,ห้องพยาบาล,"เพิ่มเติมข้อมูล lab Hct, Dtx lactate จะเป็นหัตถการ bedside ไม่ได้ส่งห้องแลป อยากให้พยาบาลสามารถใส่ผลเพื่อโชว์ให้แพทย์ดูได้ จะโชว์ในฟอร์มปรอท หรอ เพิ่มช่อง lactate หน้านี้ไม่มี lactate แนะนำลงแบบดี","แนะนำให้สามารถลงข้อมูลในส่วนนี้โดยพิมพ์เพิ่มในส่วนหน้าลงข้อมูลฟอร์ม ลงข้อมูล RECORD V/S ,LAB/การรักษาที่ได้รับ"
285,ห้องพยาบาล,ช่วย off order นี้ของ HN 22699,สามารถ off รายการยาได้ที่หน้าใบออเดอร์
286,ห้องพยาบาล,ดูมันไม่ขึ้นในใบ*mar*,จากการตรวจสอบยาเป็นยา one day มีรายการสั่งมาเวลา 11.38 น. รายการยาจะแสดงได้เพียง 24 ชม. ยาจะ off ในวันพรุ่งนี้ เวลา 11.38 น.
287,ห้องพยาบาล,จะupload เอกสารเพิ่มเติม กับคนไข้ที่d/c แล้ว,จะต้องเพิ่มกลุ่มเอกสารก่อน
288,ห้องพยาบาล,Key1รายการ แต่เวลาenter เพิ่มลงมา2รายการ แก้ไข,ตอนนี้ทางทีมตรวจสอบพบว่ารายการ Ato ก็เป็นรายการผูกกันมา
289,ห้องพยาบาล,แพทย์มีคำสั่งนอนรพ. 14/7/68 แต่ ฟอร์มปรอทขึ้นตั้งแต่ 13/7/68,เนื่องจากคนไข้มา admit วันที่ 13/7 ฟอร์มปรอทจึงขึ้นวันที่ 13/7 มา
290,ห้องพยาบาล,ใบเบิกอาหารประจำตึกขึ้นเตียงไม่ครบขึ้นแค่ 20เตียงเช็ค คนไข้จริงมีเกือบ 40 คน ขึ้นแค่นี้ ตอนนี้เลยต้องอิงจากสติ๊กเกอร์,พิมพ์จากหน้าการทำงานนี้ ไม่ได้เลือกหน้า
291,ห้องพยาบาล,หน้านี้สามารถกดเลือกยาเฉพาะตัวยาที่จะปริ้นฉลากยา,ส่วนนี้ยังไม่สามารถทำได้
292,ห้องพยาบาล,ลง105 ไม่ได้,มีข้อมูลส่วนมีอักขระพิเศษ หรือข้อมุลมากกว่าปกติ หรือข้อความส่วนcopyมาอาจจะมีอักขระติดอยู่
293,ห้องพยาบาล,เรื่องที่จะปิดกั้นระบบmar ver.เดิม สมารถทำได้หรือยัง,จะต้องให้คนไข้ที่ใช้ v.1 จำหน่ายทั้งหมดก่อนถึงจะสามารถปิด ใบ mar v.1 ได้
294,ห้องพยาบาล,อันนี้ เป็น prn,มีการแก้ไข
295,ห้องพยาบาล,"ปรึกษา บันทึกเพิ่มเติมผู้ป่วยบางครั้งก็เพิ่มได้
บางครั้งกดแล้วก็ไม่ขึ้นให้พิมพ์pop up ต้องแก้ยังไง",ส่วนนี้เพิ่มที่ระบบเดิมก่อน หลังจากอัพเดทระบบจะสามารถเพิ่มที่ neo ได้เลย เนื่องจากหากไม่มีลง note ที่ระบบเดิม ที่ neo จะไม่สามารถลงข้อมุลได้
296,ห้องพยาบาล,ขอ กรณีเราเบิก nss ในการผสมยาฉีดที่แพทย์สั่งยา continue เช่น ceftri clinda โดยให้เวลา add chart จะมีในรายการโดยไม่ต้องพิมพ์ใหม่ต้องทำอย่างไร,ยาผสมจะต้อง มีการเพิ่มรายการไปที่รายการนั้น เช่นตัวอย่างนี้
297,ห้องพยาบาล,รับorderแล้วมันไม่ไปห้องยา,ส่วนนี้คือการตอบกลับไม่ใช่รับออเดอร์
298,ห้องพยาบาล,เคสนี้ลงข้อมูลผ่าตัดแล้ว แต่เครื่องหมายกากบาทยังไม่ขึ้น,บันทึกผ่าตัดใหม่
299,ห้องพยาบาล,แก้ไข ใบ Mar เซ็นไม่ได้,แนะนำให้แก้ไขจำนวนที่หน้า Current Profile ให้ใส่เป็น 0
300,ห้องพยาบาล,ขออนุญาต ที่ขึ้น สีแดงคืออะไร,มีลงประวัติล่าสุด v/s 38 หากผู้ป่วย temp 38 ขึ้นไปในส่วนการลงข้อมูลที่ DTX รายชื่อผู้ป่วยจะเป็นสีแดง
301,ห้องพยาบาล,คนไข้ 0n MO แต่ไม่มีขี้น icon hight alert drug,รายการยานี้ยังไม่ถูก custom from
302,ห้องพยาบาล,พอดีลองใช้ใบ HAD แต่พอรับ order แล้วลงบริหารยาแล้ว ไม่ทราบว่า ใบติดตามจะขึ้นตรง,แก้ไขรียบร้อยมีค่าว่าง
303,ห้องพยาบาล,ระบบ มี การแจ้งเตือนให้กับแพทย์ผู้สั่งจ่ายยา ว่า มีการสั่งorderซ้ำ,มีแจ้งเตือนนี้อยู่
304,ห้องพยาบาล,แพทย์มา order แล้วไม่ขึ้นให้รับ order,เนื่องจากมีการเขียนออเดอร์บนใบ ออเดอร์ Lab ล่วงหน้า
305,ห้องพยาบาล,ไม่ทราบว่าได้เพิ่ม Department of service ศัลยกรรมกระดูกและข้อให้ยัง และขอเพิ่ม ward ศัลยกรรมทั่วไป/ศัลยกรรมกระดูกและข้อ ในเอกสาร122,มีส่งแก้ไขแล้ว
306,ห้องพยาบาล,สั่ง off tazocin แต่ใบ mar ไม่off,ส่วนนี้เป็นกรายการบันทึกเพิ่มเติม
307,ห้องพยาบาล,ไม่off ยาให้,จะต้อง off ที่ส่วนนี้ แล้วกดบันทึก off รายการยาถึงจะ off
